code,product_name,brands,quantity,categories,countries
8902579002299,Smoodh chocolate,Parle Agro,80ml,Chocolate milks,India
8904004400243,Soya Sticks,Haldiram's,,,India
8904335604150,Yoga Bar Millet Muesli,Yoga Bar,500g,Mueslis,India
8904004400687,Haldiram's Aloo Bhujia Sev,Haldiram's,20g,Salty snacks,India
8901491365703,Puffcorn,Kurkure,28 10rs,Corn chips,India
8901262200189,Amul Lassi 200ml,Amul,200mL,"Yogurt drinks, Lassi",India
8901207900839,hajmola,Dabur,120 Tablets,,India
8901764362309,Pulpy orange,Minute Maid,1L,Orange juices from concentrate,India
8901058005080,Munch Max,Nestlé,38.5 g,"Biscuits, Candy chocolate bars","India, Indonesia"
8902080001828,Pepsi Zero Sugar,PepsiCo Inc.,400ml,"Diet cola soft drink, Cold Drink",India
8901088050586,Parachute Coconut Oil,Parachute,,Coconut oils,"India, United Kingdom"
8901058009729,Masala Veg Atta Noodles,Maggi,72.5g,Instant noodles,India
8904004409253,Potato Lite,Haldiram Snacks Pvt. Ltd.,15g,Potato crisps,India
8906009501031,Pasteurised Cow Milk,Chitale,500 ml,Whole milks,India
8906010500429,Unknown Product,,,Balaji,"India, United Kingdom"
8901063093591,,,,Biscuits,"India, United Kingdom"
8901058000269,Maggi,Maggi,280g,Noodles,"India, Mali"
19017198,Parle tostea 1kg,"Parle, Simply Good, Wholesome",22g,"Biscuits, 100g wheat per amount","Ghana, India"
8901030831706,Mixed Fruit Jam,"Hindustan Unilever Limited, Kissan",500g,Mixed fruit jams,"Canada, India"
8901207005527,Honey Squeezy,Dabur,400g,"Honeys, Food","France, India"
8901595863013,Schezwan Chutney,ching's,30 g,"Salted spreads, Dips, Onion chutneys, Schezwan Chutney","Bangladesh, Bhutan, India, Nepal"
8906010503529,CHRUNCHEM Masala Masti,Balaji,150,Potato crisps,"Ghana, India"
8909081005046,Dark Fantasy Choco Fills,Sunfeast,,Chocolate biscuits,India
7622202309830,Bournvita 200g,,200g,,India
8904422711365,Nariyal Biscuit,Patanjali,68g 10 Biscuit per Packet,"Biscuits, 100, Coconut Biscuits","India, United States"
3948063139329,,,,,India
3948764032271,Sprite,Coca Cola,750 ml,"Artificially sweetened beverages, Sodas, Sweetened beverages",India
8901491000789,Lays India's magic masala,Lay's,90 g,Flavoured potato crisps,"France, India"
8902080364022,Mountain Dew,PepsiCo,250 ml,"Sodas, Carbonated waters, Energy drinks, Sweetened beverages",India
8902346012353,Oral Rehydration Salts I.P. Electral,FDC LIMITED,21.80 g,Non food products,India
8901262020039,Amul cheese,Amul,200 g,Cheeses,India
8901088047142,parachute oil,parachute,250ml,Coconut oils,"India, Singapore"
8904004404630,salted peanuts,haldiram's,25g,"Legumes, Peanuts",India
8902080404575,Mango Slice 1.75ltr,PepsiCo Inc.,29,Fruit-based beverages,India
8901725000622,sunfeast Mom,Sunfeast,30,"Confectioneries, Biscuits",India
8901030877131,Real Mayonnaise,Hellmann's,85 g,"Confectioneries, Mayonnaises",India
8901030902369,Knorr hot & sour veg soup,Knorr,10,Dehydrated soups,India
8904004403800,Moong dal,"Haldiram, Haldiram's",400 g,"Snacks, Pulses",India
8901063092822,BRITANNIA Good day  BUTTER COOKIES,Britannia,52.5 g,Biscuits,India
7622202324574,,,,A,India
8901063014404,,,,Biscuits,"India, United States"
8906004560149,,,,,"India, United States"
7622202252419,Oreo 30 rs,,,Biscuits,"India, United States"
8901058022179,Munch,Nestlé,17.4g,"Chocolate stuffed wafers, Chocolate Wafer",India
8901063367173,5050 Maska Chaska,Britannia,,Biscuits,"India, United States"
8901063142015,Nutri Choice,Britannia Digestive,100 g,Biscuits,"France, India"
8908005144632,Muesli dark chocolate cranberry,Yoga bar,400,Mueslis,India
8904327600405,Myfitness Chocolate Peanut Butter,Myfitness,510 g,"Peanut butters, Nut butters",India
8901030735097,Vanilla Ice Cream,Kwality Walls,,Ice creams,India
8901491103046,Kurkure Green chutney,,33g,Appetizers,India
8906010503512,Balaji wafers,Balaji,135g,"Crisps, Salty snacks made from potato",India
8906010500092,Balaji Wafers Crunchex,Balaji Wafers,,Potato crisps,India
8902080204588,8902080204588,Mirinda,,Fruit juices,India
8906010501242,wheelos masala flavour,Balaji Wafers,,Crisps,"India, United States"
8906001023050,Gowardhan pure cow ghee,Gowardhan,200ml,"Butters, ghee",India
